UNIQ_ID2,REFERRER,AGE RANGE,GENDER,NCSS_B03A,NCSS_B03B,NCSS_B04,NCSS_B05,EVENT,PARTICIPATION,Process_E_LS,Process_E_EX,Process_E_CT,Pre_AT_PT1,Post_AT_PT1,Pre_AT_PT2,Post_AT_PT2,Pre_AT_PT3,Post_AT_PT3,Pre_AT_WT5,Post_AT_WT5,Pre_AT_CT1,Post_AT_CT1,Pre_AT_CT2,Post_AT_CT2,Pre_AT_CT3,Post_AT_CT3,Pre_AT_CT4,Post_AT_CT4,Pre_AT_LA1,Post_AT_LA1,Pre_AT_LA2,Post_AT_LA2,Pre_AT_LA3,Post_AT_LA3,Pre_AT_SC6,Post_AT_SC6,Pre_ST_SD1,Post_ST_SD1,Pre_ST_SD2,Post_ST_SD2,Pre_ST_SD3,Post_ST_SD3,Pre_ST_SD4,Post_ST_SD4,Pre_MR1,Post_MR1,Post-Pre_MR1,I_MR1,Pre_NCSS_P2,Post_NCSS_P2,Pre_AT_WT2,Post_AT_WT2,Pre_AT_WT3,Post_AT_WT3,Pre_AT_WT4,Post_AT_WT4,Pre_AT_LA4,Post_AT_LA4,Pre_MR2,Post_MR2,Post-Pre_MR2,I_MR2,Pre_AT_WT1,Post_AT_WT1,Pre_AT_CT5,Post_AT_CT5,Pre_AT_LA5,Post_AT_LA5,Pre_AT_SC2,Post_AT_SC2,Pre_ST_SD5,Post_ST_SD5,Pre_ST_SR2,Post_ST_SR2,Pre_ST_SR1,Post_ST_SR1,Pre_ST_SR3,Post_ST_SR3,Pre_ST_SR4,Post_ST_SR4,Pre_ST_SR5,Post_ST_SR5,Pre_MR3,Post_MR3,Post-Pre_MR3,I_MR3,Pre_NCSS_P1,Post_NCSS_P1,Pre_NCSS_P3,Post_NCSS_P3,Pre_NCSS_P4,Post_NCSS_P4,Pre_NCSS_P5,Post_NCSS_P5,Pre_MR4,Post_MR4,Post-Pre_MR4,I_MR4,Pre_AT_SC1,Post_AT_SC1,Pre_AT_SC3,Post_AT_SC3,Pre_AT_SC4,Post_AT_SC4,Pre_AT_SC5,Post_AT_SC5,Pre_MR5,Post_MR5,Post-Pre_MR5,I_MR5,ENTRY_ID,DATE_TIME
5304933H86,Nigel Koh,35 - 44,Male,Yes,Friend,No,Junior College/ Pre-University Institution,C2C Social Media Invasion,7,5,5,5,2,3,4,5,5,5,5,4,5,4,5,4,5,5,2,1,1,4,5,5,5,3,5,5,5,5,5,5,5,5,2,4,4.13,4.19,0.06,Y,5,3,1,4,3,2,5,2,1,4,3,3,0,N,4,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.9,4.5,-0.4,N,4,4,4,3,5,3,5,3,4.5,3.25,-1.25,N,5,5,5,5,5,5,5,3,5,4.5,-0.5,N,366,28-08-21 6:52
2363739J43,Nigel Koh,45 - 54,Male,Yes,Friend,No,University Degree,C2C Social Media Invasion,6,1,1,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,3,3,5,5,3,3,4,3,5,5,5,5,3,3,4.25,4.31,0.06,Y,4,5,3,3,2,4,3,3,3,4,3,3.8,0.8,Y,2,4,4,4,5,5,5,5,5,5,3,4,4,4,3,3,5,5,3,3,3.9,4.2,0.3,Y,4,4,4,4,5,5,5,5,4.5,4.5,0,N,4,5,5,5,5,5,2,2,4,4.5,0.5,Y,412,28-08-21 13:35
6887970R60,Nigel Koh,35 - 44,Female,No,Not Applicable,No,Postgraduate Degree,C2C Social Media Invasion,8,4,4,3,3,4,3,4,3,4,3,4,3,4,4,4,4,4,2,2,4,4,3,4,3,4,4,4,4,4,4,4,4,4,2,3,3.31,3.81,0.5,Y,2,4,2,3,3,4,3,3,4,4,2.8,3.6,0.8,Y,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3.8,3.9,0.1,Y,4,4,4,4,4,4,4,4,4,4,0,N,3,4,4,4,3,4,3,3,3.25,3.5,0.25,Y,267,15-08-21 1:09
6079689F63,Nigel Koh,18 -24,Female,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,3,4,4,3,4,4,4,4,5,4,3,3,4,4,4,4,4,4,4,4,4,4,2,3,3,3,4,4,4,4,4,4,4,4,3,3,3.75,3.75,0,N,4,4,2,2,4,3,2,2,4,4,3.2,3,-0.2,N,5,4,4,3,4,4,4,5,2,4,4,4,3,4,4,4,4,4,3,4,3.7,3.9,0.2,Y,4,4,4,4,4,4,3,3,3.75,3.75,0,N,2,2,3,3,3,3,4,3,3,2.75,-0.25,N,175,31-07-21 2:30
5043374G83,Nigel Koh,35 - 44,Female,Yes,Family Member,No,University Degree,C2C Social Media Invasion,4,5,5,5,3,4,4,4,4,5,3,3,3,3,4,4,3,3,4,4,3,4,2,4,2,4,5,5,5,5,3,4,5,4,3,3,3.5,3.94,0.44,Y,5,5,3,3,4,1,3,2,4,3,3.8,2.8,-1,N,3,2,5,5,5,5,4,5,5,4,5,5,4,5,4,4,4,4,3,3,4.2,4.2,0,N,4,4,3,3,4,4,4,4,3.75,3.75,0,N,4,5,5,5,5,5,5,3,4.75,4.5,-0.25,N,180,03-08-21 12:16
2709958Z61,Nigel Koh,35 - 44,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,8,5,5,5,5,3,5,5,5,5,5,5,4,3,3,4,5,5,3,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,4,4,4.38,4.44,0.06,Y,4,4,4,3,4,4,3,2,5,5,4,3.6,-0.4,N,4,5,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,4,4,4.6,4.7,0.1,Y,4,5,3,5,4,5,3,4,3.5,4.75,1.25,Y,5,5,5,5,4,3,3,3,4.25,4,-0.25,N,201,07-08-21 14:51
6234297F92,Nigel Koh,45 - 54,Male,Yes,"Family Member
Colleague
Classmate",No,University Degree,C2C Social Media Invasion,5,4,4,4,2,4,3,4,3,5,5,5,3,4,3,4,2,5,3,4,1,4,1,5,2,5,2,5,5,5,3,4,3,5,4,5,2.81,4.56,1.75,Y,3,5,3,4,4,4,2,4,4,5,3.2,4.4,1.2,Y,5,5,5,5,4,5,2,2,3,2,5,5,5,5,5,5,4,5,4,4,4.2,4.3,0.1,Y,4,5,3,3,3,5,3,5,3.25,4.5,1.25,Y,5,5,5,5,1,1,2,2,3.25,3.5,0.25,Y,204,08-08-21 7:08
1778539J35,Nigel Koh,25 - 34,Male,Yes,"Family Member
Classmate",No,Postgraduate Degree,C2C Social Media Invasion,7,5,5,5,3,2,2,2,2,2,3,2,4,2,4,2,3,2,4,2,4,2,4,2,3,2,4,2,2,2,2,2,3,2,2,2,3.06,2,-1.06,N,2,2,4,2,4,4,2,2,2,4,2.8,2.8,0,N,4,4,5,4,4,4,5,2,3,4,3,4,4,4,4,4,4,4,3,4,3.9,3.7,-0.2,N,4,4,2,2,2,4,3,4,2.75,3.5,0.75,Y,2,2,5,2,4,2,5,2,4,2,-2,N,154,26-07-21 4:20
8522539J86,Nigel Koh,45 - 54,Male,Yes,"Family Member
Classmate",No,Postgraduate Degree,C2C Social Media Invasion,6,4,4,4,3,2,2,4,2,4,3,4,4,5,4,4,3,4,4,5,4,4,4,4,3,5,4,4,2,3,2,4,3,4,2,2,3.06,3.88,0.81,Y,2,5,4,2,4,4,2,2,2,4,2.8,3.4,0.6,Y,4,1,5,4,4,5,5,5,3,4,3,5,4,5,4,4,4,5,3,4,3.9,4.1,0.2,Y,4,5,2,4,2,4,3,5,2.75,4.5,1.75,Y,2,2,5,5,4,5,5,4,4,3.5,-0.5,N,190,07-08-21 1:20
4791030J91,Nigel Koh,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,7,4,4,4,4,5,5,5,5,5,3,3,3,3,3,3,5,5,2,2,4,3,3,3,3,3,5,3,5,5,5,4,5,3,3,3,3.94,3.63,-0.31,N,3,3,3,3,3,2,3,3,4,4,3.2,3,-0.2,N,4,4,4,5,4,4,3,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,0,N,4,5,4,5,3,4,5,4,4,4.5,0.5,Y,3,3,3,3,3,3,3,3,3,3.25,0.25,Y,86,16-07-21 6:20
