UNIQ_ID2,REFERRER,AGE RANGE,GENDER,NCSS_B03A,NCSS_B03B,NCSS_B04,NCSS_B05,EVENT,PARTICIPATION,Process_E_LS,Process_E_EX,Process_E_CT,Pre_AT_PT1,Post_AT_PT1,Pre_AT_PT2,Post_AT_PT2,Pre_AT_PT3,Post_AT_PT3,Pre_AT_WT5,Post_AT_WT5,Pre_AT_CT1,Post_AT_CT1,Pre_AT_CT2,Post_AT_CT2,Pre_AT_CT3,Post_AT_CT3,Pre_AT_CT4,Post_AT_CT4,Pre_AT_LA1,Post_AT_LA1,Pre_AT_LA2,Post_AT_LA2,Pre_AT_LA3,Post_AT_LA3,Pre_AT_SC6,Post_AT_SC6,Pre_ST_SD1,Post_ST_SD1,Pre_ST_SD2,Post_ST_SD2,Pre_ST_SD3,Post_ST_SD3,Pre_ST_SD4,Post_ST_SD4,Pre_MR1,Post_MR1,Post-Pre_MR1,I_MR1,Pre_NCSS_P2,Post_NCSS_P2,Pre_AT_WT2,Post_AT_WT2,Pre_AT_WT3,Post_AT_WT3,Pre_AT_WT4,Post_AT_WT4,Pre_AT_LA4,Post_AT_LA4,Pre_MR2,Post_MR2,Post-Pre_MR2,I_MR2,Pre_AT_WT1,Post_AT_WT1,Pre_AT_CT5,Post_AT_CT5,Pre_AT_LA5,Post_AT_LA5,Pre_AT_SC2,Post_AT_SC2,Pre_ST_SD5,Post_ST_SD5,Pre_ST_SR2,Post_ST_SR2,Pre_ST_SR1,Post_ST_SR1,Pre_ST_SR3,Post_ST_SR3,Pre_ST_SR4,Post_ST_SR4,Pre_ST_SR5,Post_ST_SR5,Pre_MR3,Post_MR3,Post-Pre_MR3,I_MR3,Pre_NCSS_P1,Post_NCSS_P1,Pre_NCSS_P3,Post_NCSS_P3,Pre_NCSS_P4,Post_NCSS_P4,Pre_NCSS_P5,Post_NCSS_P5,Pre_MR4,Post_MR4,Post-Pre_MR4,I_MR4,Pre_AT_SC1,Post_AT_SC1,Pre_AT_SC3,Post_AT_SC3,Pre_AT_SC4,Post_AT_SC4,Pre_AT_SC5,Post_AT_SC5,Pre_MR5,Post_MR5,Post-Pre_MR5,I_MR5,ENTRY_ID,DATE_TIME
1884630186,Nirmal,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,3,4,3,4,3,5,4,5,4,5,5,5,5,5,3,4,4,5,3,3,3,3,4,3,3,3,3,3,3,5,4,5,3,5,5,5,3.69,4.31,0.63,Y,3,3,2,2,2,3,3,2,5,5,3.00,3.00,0.00,N,5,5,4,4,3,4,2,3,2,2,4,5,4,4,3,4,5,5,4,4,3.60,4.00,0.40,Y,5,5,3,3,5,5,5,5,4.50,4.50,0.00,N,5,5,5,5,3,3,3,4,4.00,3.50,-0.50,N,428,28-08-21 15:56
7450642Z11,Nirmal,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,8,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00,1.00,0.00,N,1,1,1,1,5,5,1,1,5,5,2.60,2.60,0.00,N,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4.60,4.60,0.00,N,5,5,1,1,5,5,5,5,4.00,4.00,0.00,N,1,1,1,1,1,1,1,1,1.00,1.00,0.00,N,390,28-08-21 9:34
4157077I42,Nirmal,18 -24,Male,Yes,Partner (BF/GF),No,Polytechnic,C2C Social Media Invasion,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,1,5,5,2,5,3,5,5,5,5,5,5,5,5,5,5,5,4.63,4.69,0.06,Y,4,5,4,5,4,4,4,4,2,5,3.60,4.60,1.00,Y,4,3,4,4,2,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,4.50,4.40,-0.10,N,2,5,4,5,5,5,5,5,4.00,5.00,1.00,Y,2,5,5,5,5,3,2,1,3.50,3.75,0.25,Y,592,29-08-21 8:32
5572572I64,Nirmal,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,3,5,5,5,5,5,5,5,5,5,3,5,5,5,4,5,5,5,3,3,3,3,4,4,4,3,5,5,5,5,5,5,5,5,5,5,4.44,4.56,0.13,Y,3,4,4,4,3,3,3,2,5,5,3.60,3.60,0.00,N,3,4,4,4,3,4,3,3,5,5,5,5,5,5,5,5,5,5,3,4,4.10,4.30,0.20,Y,2,5,3,3,5,5,5,5,3.75,4.50,0.75,Y,5,5,4,3,3,3,2,2,3.50,4.00,0.50,Y,436,28-08-21 17:07
8843553Z62,Nirmal,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,5,5,5,5,4,4,4,4,3,4,3,2,3,4,4,4,3,4,3,3,4,4,3,2,2,2,3,4,4,4,4,4,4,4,2,3,3.31,3.50,0.19,Y,3,4,2,4,3,2,3,2,3,4,2.80,3.20,0.40,Y,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3.90,3.90,0.00,N,2,4,3,4,4,4,4,4,3.25,4.00,0.75,Y,2,3,3,4,3,2,3,5,2.75,2.75,0.00,N,395,28-08-21 10:00
5197285G76,Nirmal,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,7,4,4,4,2,4,4,2,5,5,5,4,4,4,3,3,5,5,2,2,4,4,3,3,2,3,5,5,5,5,4,4,5,4,5,5,3.94,3.88,-0.06,N,2,5,4,3,3,4,4,2,4,3,3.40,3.40,0.00,N,4,5,4,4,3,4,3,3,4,4,4,5,5,5,4,5,4,5,3,3,3.80,4.30,0.50,Y,2,4,5,5,4,4,4,4,3.75,4.25,0.50,Y,4,4,4,5,3,2,2,2,3.25,4.00,0.75,Y,647,29-08-21 9:55
4308818C87,Nirmal,18 -24,Male,Yes,Family Member,No,Polytechnic,C2C Social Media Invasion,8,5,5,5,4,4,4,4,2,4,4,4,2,1,4,2,5,4,2,2,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,3.44,3.19,-0.25,N,1,1,1,1,2,4,4,4,4,5,2.40,3.00,0.60,Y,5,5,5,4,4,5,5,5,4,4,5,5,5,4,5,4,5,4,3,3,4.60,4.30,-0.30,N,2,5,4,4,4,4,4,4,3.50,4.25,0.75,Y,4,4,4,4,2,4,5,5,3.75,4.25,0.50,Y,629,29-08-21 9:18
2688237A45,Nirmal,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,4,4,4,4,5,5,4,1,5,5,4,3,4,3,4,4,5,5,2,1,3,5,2,3,2,4,5,5,5,5,5,5,5,5,5,5,4.06,4.00,-0.06,N,5,5,5,3,3,4,5,1,3,5,4.20,3.60,-0.60,N,3,5,4,5,4,5,4,5,5,1,5,5,4,5,3,5,4,5,4,5,4.00,4.50,0.50,Y,2,4,3,5,4,5,4,5,3.25,4.75,1.50,Y,5,5,4,5,3,3,3,5,3.75,3.75,0.00,N,574,29-08-21 7:56
7488631G62,Nirmal,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,5,5,5,5,4,5,3,4,2,4,5,5,5,4,5,5,5,5,2,2,3,5,3,4,3,5,5,5,5,5,4,5,4,5,3,5,3.81,4.56,0.75,Y,1,3,1,1,5,5,4,1,1,2,2.40,2.40,0.00,N,5,5,4,4,5,5,5,5,5,1,3,5,3,5,4,5,2,4,1,3,3.70,4.00,0.30,Y,2,5,4,4,4,5,4,5,3.50,4.75,1.25,Y,5,3,5,5,3,3,2,2,3.75,3.25,-0.50,N,381,28-08-21 8:59
3379520H74,Nirmal,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,7,4,4,4,2,3,2,3,2,3,4,4,2,2,3,2,2,2,3,3,4,5,2,2,2,2,3,4,2,4,3,4,2,3,2,2,2.50,3.00,0.50,Y,5,4,4,2,2,2,5,2,2,2,3.60,2.40,-1.20,N,2,4,5,5,2,3,5,5,3,4,4,4,3,4,3,3,3,4,2,2,3.20,3.80,0.60,Y,1,4,4,4,4,4,4,4,3.25,4.00,0.75,Y,5,4,5,5,2,2,2,2,3.50,3.25,-0.25,N,610,29-08-21 8:59
